ageunder16,age16_24,age25_34,age35_44,age45_54,age55_64,age65over,gender_male,gender_female,population_group_percentage
1233,1111,1341,1560,1318,973,422,4963,2912,100
223,346,313,403,505,495,247,1632,870,31.8
914,241,414,547,204,66,22,1219,1177,30.3
1232,187,276,411,130,23,18,968,1308,28.6
0,924,0,0,0,0,0,571,312,11.6
0,0,1065,1149,1188,950,404,3424,1292,59.8
319,870,927,1013,1114,907,400,3744,1735,69.7
1271,1094,1392,1579,1399,965,432,5093,2959,100
202,362,308,399,521,496,253,1652,862,31.2
965,253,417,534,237,66,19,1264,1214,30.6
1268,197,278,410,145,22,16,1007,1328,28.7
0,893,0,0,0,0,0,556,301,11
0,0,1114,1169,1254,943,416,3530,1330,60.3
306,841,975,1045,1162,899,413,3829,1745,69.4
1414,1115,1487,1727,1460,969,435,5389,3133,100
226,377,316,412,526,500,257,1696,889,30.4
1121,250,468,634,259,72,22,1416,1392,32.8
1412,210,320,491,164,28,11,1141,1495,30.6
0,905,0,0,0,0,0,573,291,10.5
0,0,1167,1236,1296,941,424,3675,1347,58.9
293,865,1019,1093,1201,897,413,3973,1741,67.2
1615,1126,1554,1823,1476,983,456,5631,3312,100
236,381,322,433,519,504,258,1716,901,29.4
1321,258,515,703,280,71,22,1562,1590,35.1
1613,217,361,557,166,26,13,1273,1680,32.7
0,909,0,0,0,0,0,573,293,10.1
0,0,1193,1266,1310,957,443,3785,1339,57.2
294,868,1039,1120,1196,912,434,4069,1722,64.9
1830,1153,1644,1946,1502,985,456,5838,3583,100
242,376,324,444,533,517,261,1731,933,28.3
1552,290,602,840,312,74,24,1802,1876,38.8
1828,231,396,666,194,27,11,1414,1934,35.2
0,921,0,0,0,0,0,570,305,9.7
0,0,1251,1280,1308,958,445,3854,1344,55.1
278,863,1042,1106,1190,911,432,4036,1707,61.2
1937,1217,1726,1977,1526,979,461,5957,3765,100
272,381,321,457,531,510,253,1742,946,27.7
1639,323,654,892,333,77,29,1933,1998,40.2
1937,265,422,698,208,27,11,1510,2056,36.3
0,950,0,0,0,0,0,578,321,9.7
0,0,1304,1279,1318,952,450,3869,1388,54
298,894,1072,1085,1193,902,432,4024,1767,59.8
1835,1213,1678,1973,1479,967,457,5809,3697,100
302,384,331,481,543,496,254,1760,994,29.1
1499,327,624,854,309,82,30,1823,1886,38.8
1831,259,388,670,197,30,12,1414,1972,35.3
0,953,0,0,0,0,0,579,323,9.9
0,0,1290,1303,1282,937,445,3816,1402,54.8
336,886,1054,1119,1170,885,427,3986,1811,61.2
1810,1223,1662,1942,1480,978,462,5763,3701,100
281,371,334,481,536,494,269,1762,971,28.9
1413,333,612,812,319,89,24,1765,1824,37.7
1806,289,417,642,211,32,14,1417,1994,35.7
0,934,0,0,0,0,0,555,327,9.8
0,0,1245,1300,1269,946,448,3791,1380,54.5
397,890,1050,1130,1161,889,438,3998,1877,62.3
1721,1171,1604,1873,1487,1020,465,5696,3564,100
244,362,331,472,548,497,262,1735,946,29.1
1272,326,575,725,291,92,23,1657,1636,35.4
1720,284,389,574,211,30,13,1362,1859,34.5
0,886,0,0,0,0,0,514,327,9.5
0,0,1215,1299,1276,990,452,3820,1378,56
449,845,1029,1148,1196,928,442,4039,1928,64.6
1609,1180,1584,1819,1442,1033,477,5609,3448,100
299,370,365,493,552,506,283,1819,1010,31.4
1151,330,577,684,282,90,28,1596,1534,34.4
1605,276,382,535,208,31,16,1278,1775,33.4
0,902,0,0,0,0,0,524,333,9.9
0,0,1202,1284,1234,1002,461,3807,1340,56.7
458,850,1007,1135,1160,943,449,4013,1914,65.6
1656,1190,1713,1890,1573,1060,475,5899,3556,100
286,368,354,488,557,517,270,1822,981,29.7
1186,341,609,692,298,94,29,1663,1576,34
1652,285,395,547,220,38,16,1334,1817,33
0,903,0,0,0,0,0,535,320,9.4
0,0,1318,1343,1353,1022,459,4030,1419,57.6
470,849,1104,1198,1275,966,446,4236,1980,66
1708,1207,1794,1923,1602,1092,456,6046,3636,100
292,371,379,488,578,522,276,1860,1009,29.7
1213,357,607,697,301,91,28,1676,1608,33.7
1708,300,410,570,222,33,15,1381,1876,33.3
0,906,0,0,0,0,0,544,317,9.3
0,0,1384,1353,1380,1059,441,4121,1443,57.4
495,850,1187,1226,1301,1001,428,4370,2028,66.3
1738,1264,1806,1962,1672,1114,473,6183,3740,100
369,394,384,505,589,534,278,1936,1076,30.4
1217,382,558,700,324,98,30,1676,1620,33
1672,313,372,567,224,35,14,1352,1843,31.9
0,950,0,0,0,0,0,567,339,9.5
0,0,1434,1395,1448,1079,459,4264,1558,58.6
521,882,1248,1262,1348,1016,443,4507,2120,67
1676,1233,1777,1979,1659,1174,484,6125,3750,100
379,394,378,510,593,554,275,1956,1087,30.9
1179,348,540,689,306,106,34,1593,1597,32.1
1602,298,379,556,219,34,16,1304,1798,31.1
0,935,0,0,0,0,0,547,342,9.4
0,0,1398,1423,1440,1140,468,4274,1610,59.5
497,885,1237,1290,1353,1068,450,4532,2153,67.9
1687,1238,1804,2002,1654,1179,479,6161,3773,100
441,412,407,552,617,574,284,2066,1182,32.7
1182,339,540,673,317,89,31,1587,1571,31.6
1614,292,392,538,226,27,17,1293,1812,30.9
0,945,0,0,0,0,0,560,338,9.4
0,0,1412,1464,1428,1152,462,4308,1623,59.7
505,899,1264,1329,1337,1090,448,4574,2202,68.4
1730,1243,1815,1999,1680,1189,486,6230,3807,100
431,408,415,562,631,577,284,2075,1193,32.6
1208,330,522,699,337,93,30,1605,1600,31.7
1650,292,391,565,237,31,16,1335,1846,31.4
0,951,0,0,0,0,0,571,333,9.4
0,0,1424,1434,1443,1158,470,4324,1628,59.2
522,913,1293,1300,1343,1096,456,4625,2207,68.3
1772,1225,1820,2057,1639,1174,497,6246,3833,100
461,406,429,573,631,590,292,2110,1230,33.2
1248,328,539,745,347,86,30,1676,1634,32.6
1703,274,408,589,246,31,16,1397,1869,32.1
0,950,0,0,0,0,0,563,338,9.3
0,0,1412,1468,1393,1143,481,4286,1626,58.6
